,Reaction_ID,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
GND: 6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,GND,43912.0,46246.0,46504.0,47371.0,43195.0,47818.0,23938.0,24796.0,24381.0
CMPA_1: Ncbmpts_c + h2o_c + 2.0 h_c --> co2_c + nh4_c + ptrc_c,CMPA_1,1757.0,1788.0,1502.0,1560.0,1312.0,1352.0,792.0,900.0,986.0
U23GAAT2: 3hpalmACP_c + u3hga2_c --> ACP_c + h_c + u23ga2_c,U23GAAT2,6656.0,7091.0,6144.0,7430.0,5728.0,6386.0,3714.0,4956.0,5333.0
HOXGfx: 6.0 fdxrd_c + 8.0 h_c + 3.0 o2_c + pheme_c --> biliverd_c + co_c + 6.0 fdxox_c + fe2_c + 3.0 h2o_c,HOXGfx,59661.0,62511.0,54756.0,52127.0,46482.0,49066.0,55792.0,33220.0,33706.0
PGK: 3pg_c + atp_c <=> 13dpg_c + adp_c,PGK,15221.0,17922.0,13315.0,12038.0,12568.0,10169.0,7684.0,9472.0,6472.0
IMPD: h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,IMPD,53754.0,58310.0,51110.0,47165.0,46846.0,47413.0,29540.0,39675.0,34422.0
LPOR: h_c + nadph_c + pchlld_exc_c --> chlld_c + nadp_c,LPOR,18106.0,18791.0,19280.0,13080.0,10733.0,12357.0,14278.0,8028.0,8732.0
CHRPL: chor_c --> 4hbz_c + pyr_c,CHRPL,4183.0,4307.0,3429.0,5941.0,4852.0,5620.0,1866.0,4611.0,4315.0
GCALDDy: gcald_c + h2o_c + nadp_c --> glyclt_c + 2.0 h_c + nadph_c,GCALDDy,12243.0,12806.0,11344.0,12374.0,11507.0,12261.0,7019.0,9589.0,7846.0
MSBENZMT: 2m6sbenzq_c + amet_c --> ahcys_c + h_c + pqh2_c,MSBENZMT,2696.0,2884.0,2438.0,3315.0,2438.0,2736.0,1396.0,2194.0,2418.0
DESAT18a: h_c + nadph_c + o2_c + ocdcaACP_c <=> 2.0 h2o_c + nadp_c + octe9ACP_c,DESAT18a,44589.0,48760.0,40067.0,49706.0,43013.0,44423.0,27056.0,37017.0,37000.0
FUM: fum_c + h2o_c <=> mal__L_c,FUM,4916.0,4558.0,4309.0,4582.0,3913.0,3816.0,2424.0,2932.0,2662.0
PHYFXOR: biliverd_c + 4.0 fdxrd_c + 4.0 h_c --> 4.0 fdxox_c + phycy_c,PHYFXOR,5735.0,6357.0,5760.0,6890.0,5413.0,5611.0,6162.0,4047.0,4882.0
TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c,TMPPP_1,15153.0,15841.0,13773.0,16987.0,14474.0,17524.0,7956.0,11197.0,11864.0
VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c,VPAMTr,12127.0,14008.0,10668.0,13477.0,12729.0,11748.0,5990.0,10882.0,8448.0
RNDR1: adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,RNDR1,28195.0,26841.0,22287.0,19726.0,17817.0,15050.0,12523.0,10904.0,9458.0
TALA: g3p_c + s7p_c <=> e4p_c + f6p_c,TALA,102021.0,108421.0,116359.0,120107.0,97158.0,109674.0,56167.0,77717.0,76248.0
GLYCL: gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,GLYCL,2359.0,2564.0,2224.0,2010.0,1859.0,1770.0,1031.0,1156.0,1507.0
ACONT: cit_c <=> icit_c,ACONT,48088.0,50284.0,45057.0,51332.0,43013.0,49215.0,27395.0,39800.0,40206.0
NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c,NDPK7,19433.0,19279.0,18559.0,18909.0,15072.0,18688.0,12498.0,11169.0,10601.0
GTPCI: gtp_c + h2o_c --> ahdt_c + for_c + h_c,GTPCI,14653.0,15837.0,11718.0,14472.0,13002.0,12837.0,6330.0,11279.0,8917.0
AIRC2: air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c,AIRC2,2306.0,2370.0,2042.0,1954.0,1900.0,1978.0,996.0,1426.0,1272.0
IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,IGPS,9261.0,9956.0,9293.0,8070.0,7475.0,7893.0,5137.0,5580.0,5118.0
MTAP: 5mta_c + pi_c --> 5mdr1p_c + ade_c,MTAP,3328.0,3414.0,3044.0,3338.0,2444.0,2921.0,1517.0,2006.0,2086.0
HEMEAS_1: h2o_c + hemeO_c + 2.0 nad_c <=> 2.0 h_c + hemeA_c + 2.0 nadh_c,HEMEAS_1,2386.0,2114.0,1834.0,2541.0,1660.0,1758.0,1006.0,1188.0,2312.0
DHORD3um: dhor__S_c + pq_um --> orot_c + pqh2_um,DHORD3um,2752.0,3250.0,2648.0,2908.0,2810.0,2764.0,1442.0,2282.0,2068.0
MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c,MTHFC,7233.0,7768.0,6809.0,7842.0,6340.0,6694.0,3916.0,4960.0,5803.0
HBZNPT: 4hbz_c + npdp_c --> 3nphb_c + ppi_c,HBZNPT,9292.0,9624.0,8307.0,9570.0,7222.0,7424.0,5869.0,6108.0,6836.0
GCATENEC: gcarote_c <=> caro_c,GCATENEC,5326.0,5534.0,4376.0,4917.0,4539.0,4106.0,2266.0,3411.0,3257.0
COCHL_1: atp_c + cobalt2_c + h2o_c + hgbam_c --> adp_c + co2dam_c + 3.0 h_c + pi_c,COCHL_1,6004.0,6159.0,5350.0,6135.0,5482.0,5674.0,2998.0,4029.0,3816.0
HSDy: hom__L_c + nadp_c <-- aspsa_c + h_c + nadph_c,HSDy,11664.0,13179.0,10293.0,11473.0,10988.0,11303.0,6044.0,9021.0,8497.0
TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,TRPS1,3922.0,4500.0,3382.0,4196.0,3584.0,3638.0,2308.0,3407.0,3780.0
HISTDb: h2o_c + histda_c + nad_c --> 2.0 h_c + his__L_c + nadh_c,HISTDb,22946.0,25799.0,22763.0,29749.0,24686.0,26093.0,15009.0,23037.0,23684.0
UPPDC1: 4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,UPPDC1,12576.0,13554.0,10672.0,10369.0,10566.0,9836.0,6284.0,7417.0,6680.0
GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c,GARFT,1868.0,1950.0,1988.0,2074.0,1662.0,2088.0,1152.0,1226.0,1159.0
H4THDPR: 4hthdp_c + h_c + nadph_c --> h2o_c + nadp_c + thdp_c,H4THDPR,4496.0,4977.0,4015.0,4399.0,3787.0,3424.0,2311.0,3190.0,3575.0
UDPG4E: udpg_c <=> udpgal_c,UDPG4E,1556.0,1584.0,1214.0,1282.0,1248.0,1113.0,686.0,848.0,946.0
GLCS3: adpglc_c + amylose_c --> 14glucan_c + adp_c + h_c,GLCS3,8391.0,8760.0,7023.0,7153.0,7288.0,6801.0,4005.0,4856.0,3712.0
AICART: 10fthf_c + aicar_c --> fprica_c + thf_c,AICART,10484.0,11220.0,10592.0,11727.0,8959.0,10968.0,7110.0,7533.0,8430.0
ASPTA: akg_c + asp__L_c <=> glu__L_c + oaa_c,ASPTA,5045.0,6249.0,4732.0,4953.0,4668.0,4555.0,3278.0,3812.0,3690.0
GLYOX: h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c,GLYOX,3118.0,3138.0,3054.0,3064.0,2690.0,3123.0,1578.0,2108.0,1842.0
PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c,PRAGSr,6056.0,7164.0,5146.0,5920.0,5710.0,5754.0,2712.0,4352.0,3753.0
SQD1: h_c + so3_c + udpg_c --> h2o_c + udpsq_c,SQD1,129770.0,118377.0,114735.0,155223.0,118539.0,139724.0,64609.0,93139.0,92324.0
ACKr: ac_c + atp_c <=> actp_c + adp_c,ACKr,14884.0,13849.0,11917.0,15304.0,11581.0,12101.0,5206.0,7587.0,8633.0
UDCPDPS: frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,UDCPDPS,3732.0,4294.0,3121.0,4256.0,3406.0,3498.0,1938.0,2518.0,2880.0
GK1: atp_c + gmp_c <=> adp_c + gdp_c,GK1,1122.0,1226.0,1004.0,972.0,1082.0,788.0,628.0,648.0,609.0
SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c,SHKK,1746.0,1695.0,1548.0,1760.0,1345.0,1666.0,932.0,1194.0,1590.0
OXADC: h_c + oxa_c --> co2_c + for_c,OXADC,15773.0,16167.0,16831.0,11083.0,11201.0,13859.0,7948.0,5221.0,5798.0
G1PACT: accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,G1PACT,3682.0,3932.0,3260.0,3380.0,3010.0,2908.0,1829.0,2264.0,1766.0
3HAD60: 3hhexACP_c <=> h2o_c + thex2eACP_c,3HAD60,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
PGI: g6p_c <=> f6p_c,PGI,22266.0,26241.0,21650.0,20342.0,21535.0,22306.0,10293.0,14347.0,12214.0
KAS14: acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,KAS14,35729.0,39927.0,34178.0,31131.0,31799.0,31333.0,19371.0,26237.0,21407.0
OHPBAT: glu__L_c + ohpb_c <=> akg_c + phthr_c,OHPBAT,13731.0,14420.0,11704.0,10430.0,9779.0,9555.0,10179.0,6355.0,5902.0
PQH2tum: pqh2_c --> pqh2_um,PQH2tum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2tu: o2_u <=> o2_c,O2tu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2tpp: o2_p <=> o2_c,O2tpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2Otex: h2o_e <=> h2o_p,H2Otex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK_for_c: for_c --> ,SK_for_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_mg2_e: mg2_e <=> ,EX_mg2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD80: 3hoctACP_c <=> h2o_c + toct2eACP_c,3HAD80,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
3OAR160: 3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c,3OAR160,2234.0,2534.0,2060.0,1930.0,1828.0,1535.0,1104.0,1304.0,1319.0
NMNS: h_c + ncam_c + prpp_c <=> nmn_c + ppi_c,NMNS,530.0,472.0,372.0,450.0,406.0,430.0,190.0,294.0,292.0
PPK: atp_c + pi_c <=> adp_c + ppi_c,PPK,9973.0,10640.0,9113.0,9781.0,9431.0,9302.0,4070.0,6170.0,5670.0
GALUi: g1p_c + h_c + utp_c <=> ppi_c + udpg_c,GALUi,5692.0,6025.0,4445.0,4646.0,4692.0,3575.0,2436.0,3582.0,3056.0
PHYTES2_1: prephytedp_c --> phyto_c + ppi_c,PHYTES2_1,14202.0,13930.0,10849.0,13346.0,10931.0,12387.0,6730.0,8226.0,7966.0
IGPDH: eig3p_c --> h2o_c + imacp_c,IGPDH,17104.0,18398.0,17124.0,18036.0,14861.0,16848.0,10591.0,13138.0,13516.0
OMPDC: h_c + orot5p_c --> co2_c + ump_c,OMPDC,4516.0,4581.0,3758.0,3916.0,3156.0,3095.0,1924.0,2424.0,2392.0
DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c,DCTPD,75.0,122.0,82.0,122.0,96.0,94.0,64.0,70.0,66.0
GLUSfx: akg_c + 2.0 fdxrd_c + gln__L_c + 2.0 h_c --> 2.0 fdxox_c + 2.0 glu__L_c,GLUSfx,259875.0,275625.0,256608.0,281632.0,233941.0,256999.0,144077.0,193588.0,196697.0
NADS2: atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + h_c + nad_c + ppi_c,NADS2,5465.0,5850.0,5170.0,6162.0,5595.0,5953.0,2696.0,4781.0,4976.0
GLUTRR: glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,GLUTRR,11592.0,12659.0,10853.0,12525.0,10669.0,11397.0,6336.0,9653.0,9871.0
G1PTT: dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c,G1PTT,3479.0,3503.0,2741.0,3598.0,2938.0,2592.0,1298.0,2104.0,1830.0
UAMAGS: atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,UAMAGS,2640.0,3036.0,2446.0,2302.0,2602.0,2552.0,1192.0,1782.0,1724.0
SPS: f6p_c + udpg_c --> h_c + suc6p_c + udp_c,SPS,19067.0,21066.0,17864.0,22594.0,20297.0,19446.0,11925.0,18905.0,15347.0
ADCL: 4adcho_c --> 4abz_c + h_c + pyr_c,ADCL,1092.0,1156.0,1022.0,1420.0,1138.0,1166.0,582.0,790.0,926.0
CYTK1: atp_c + cmp_c <=> adp_c + cdp_c,CYTK1,3110.0,3586.0,2848.0,2870.0,2570.0,2526.0,1506.0,2142.0,2302.0
DAPDC: 26dap__M_c + h_c --> co2_c + lys__L_c,DAPDC,37037.0,38023.0,35908.0,39259.0,30162.0,33673.0,21440.0,23764.0,25828.0
PSIum: 0.99 fdxox_c + 0.01 o2_c + p700_exc_um + pcrd_u --> 0.99 fdxrd_c + 0.01 o2s_c + p700_um + pcox_u,PSIum,5360.0,6304.0,5565.0,4269.0,4361.0,4092.0,4530.0,3076.0,3007.0
R05219: amet_c + h2o_c + pre5_c --> ac_c + ahcys_c + h_c + pre6a_c,R05219,1054.0,1018.0,834.0,896.0,894.0,858.0,500.0,766.0,820.0
Cobalt2abcppI: atp_c + cobalt2_p + h2o_c --> adp_c + cobalt2_c + h_c + pi_c,Cobalt2abcppI,807.0,920.0,675.0,716.0,838.0,724.0,390.0,634.0,496.0
PFK_3: atp_c + s7p_c --> adp_c + h_c + s17bp_c,PFK_3,3074.0,3264.0,2814.0,3112.0,2502.0,2854.0,1678.0,1874.0,1966.0
THRS: h2o_c + phom_c --> pi_c + thr__L_c,THRS,63399.0,75156.0,62531.0,61225.0,68100.0,71028.0,33214.0,50263.0,45228.0
NAMNPP: atp_c + h2o_c + nac_c + prpp_c <=> adp_c + nicrnt_c + pi_c + ppi_c,NAMNPP,530.0,472.0,372.0,450.0,406.0,430.0,190.0,294.0,292.0
FOLD3: 2ahhmd_c + 4abz_c --> dhpt_c + ppi_c,FOLD3,1382.0,1758.0,1524.0,1347.0,1419.0,1471.0,714.0,956.0,1130.0
P5CR: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,P5CR,1796.0,2036.0,1524.0,1486.0,1498.0,1088.0,858.0,1182.0,1246.0
MEHLER_1: 2.0 h_c + 2.0 nadph_c + o2_c --> 2.0 h2o_c + 2.0 nadp_c,MEHLER_1,18087.0,19288.0,18870.0,18960.0,18344.0,20880.0,10265.0,15340.0,14478.0
ICHORS: chor_c <=> ichor_c,ICHORS,8368.0,8945.0,7859.0,10761.0,7859.0,9011.0,6546.0,8136.0,9556.0
3OAS140: ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,3OAS140,35729.0,39927.0,34178.0,31131.0,31799.0,31333.0,19371.0,26237.0,21407.0
PPK2: atp_c + ppi_c <=> adp_c + pppi_c,PPK2,9973.0,10640.0,9113.0,9781.0,9431.0,9302.0,4070.0,6170.0,5670.0
IPDPS_syn: h2mb4p_c + h_c + nadph_c --> h2o_c + ipdp_c + nadp_c,IPDPS_syn,14223.0,15699.0,12840.0,14544.0,13647.0,12831.0,7010.0,11494.0,11778.0
GLYDHDA: gly_c + h2o_c + nad_c <=> glx_c + h_c + nadh_c + nh4_c,GLYDHDA,7043.0,7458.0,5689.0,6202.0,5378.0,5514.0,3378.0,4537.0,3648.0
SBP: h2o_c + s17bp_c --> pi_c + s7p_c,SBP,21437.0,22257.0,18220.0,14551.0,15502.0,14610.0,14404.0,10844.0,7918.0
H4THDPS: aspsa_c + pyr_c --> 4hthdp_c + h2o_c + h_c,H4THDPS,23733.0,25226.0,19654.0,27112.0,22290.0,21448.0,11252.0,19763.0,21896.0
EAR60y: h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c,EAR60y,3429.0,3898.0,2942.0,2835.0,3064.0,2580.0,2068.0,2088.0,1642.0
ZNabcpp: atp_c + h2o_c + zn2_p <=> adp_c + h_c + pi_c + zn2_c,ZNabcpp,1260.0,1350.0,978.0,1234.0,1276.0,914.0,566.0,938.0,856.0
UAPGR: h_c + nadph_c + uaccg_c <=> nadp_c + uamr_c,UAPGR,2932.0,3102.0,2580.0,2788.0,2278.0,2390.0,1262.0,1548.0,1782.0
DHAD1: 23dhmb_c --> 3mob_c + h2o_c,DHAD1,13811.0,15269.0,13834.0,13469.0,11545.0,12433.0,7976.0,9826.0,11160.0
IPPS: 3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,IPPS,9448.0,11050.0,9285.0,10399.0,9513.0,9921.0,5174.0,7671.0,8366.0
ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,ANS,10293.0,11526.0,9190.0,11228.0,9684.0,9600.0,6330.0,8866.0,8918.0
SUCBZL: atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c,SUCBZL,2494.0,2658.0,2336.0,2548.0,2336.0,2475.0,1366.0,1784.0,1921.0
ADSL1r: dcamp_c --> amp_c + fum_c,ADSL1r,22465.0,25333.0,21917.0,20685.0,18748.0,19668.0,14739.0,13328.0,15938.0
NNATr: atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c,NNATr,4584.0,4802.0,4690.0,6503.0,5102.0,6934.0,2570.0,4932.0,5128.0
PERD: 4per_c + nad_c --> h_c + nadh_c + ohpb_c,PERD,8530.0,9836.0,6549.0,10252.0,8485.0,8342.0,3729.0,7194.0,7243.0
PPBNGS: 2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,PPBNGS,31810.0,35448.0,31362.0,35259.0,29075.0,34037.0,24767.0,24045.0,27328.0
ADOCBLS: agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c,ADOCBLS,824.0,790.0,632.0,772.0,628.0,694.0,452.0,498.0,546.0
LTHRK: atp_c + thr__L_c --> adp_c + h_c + thrp_c,LTHRK,77469.0,82214.0,73800.0,87886.0,79360.0,87833.0,42431.0,66920.0,65682.0
PPS: atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,PPS,16011.0,16305.0,19506.0,16672.0,11441.0,15231.0,18456.0,8403.0,11960.0
APRAUR: 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c,APRAUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDS2_1: nadp_c + phytfl_c --> h_c + nadph_c + zcarote_c,PDS2_1,17937.0,17591.0,14215.0,15700.0,14073.0,14396.0,8995.0,9804.0,8187.0
O2tex: o2_e <=> o2_p,O2tex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAALAr: 2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,ALAALAr,5584.0,6382.0,5444.0,6364.0,5191.0,6035.0,3031.0,4820.0,4302.0
ADCPS2: adcobhex_c + applp_c + atp_c --> adocbip_c + adp_c + h_c + pi_c,ADCPS2,822.0,984.0,694.0,816.0,768.0,680.0,376.0,706.0,639.0
GF6PTA: f6p_c + gln__L_c <=> gam6p_c + glu__L_c,GF6PTA,11439.0,12495.0,10458.0,9587.0,10226.0,9472.0,6302.0,7740.0,5925.0
DNMPPA: dhpmp_c + h2o_c --> dhnpt_c + pi_c,DNMPPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGMT: g1p_c <=> g6p_c,PGMT,23960.0,24582.0,20306.0,24068.0,21186.0,20555.0,15544.0,18054.0,16117.0
G5SADs: glu5sa_c <=> 1pyr5c_c + h2o_c + h_c,G5SADs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLCP2_1: 14glucan_c + pi_c --> amylose_c + g1p_c,GLCP2_1,188322.0,194127.0,207880.0,224278.0,178236.0,243687.0,99404.0,132148.0,137221.0
AGDI_1: agm_c + h2o_c --> Ncbmpts_c + nh4_c,AGDI_1,4287.0,4825.0,3736.0,4998.0,4280.0,4110.0,2462.0,3850.0,4134.0
LPADSS2: lipidX2_c + u23ga2_c --> h_c + lipidAds2_c + udp_c,LPADSS2,4077.0,4114.0,3136.0,3958.0,3620.0,3742.0,1788.0,2890.0,2639.0
GLYCK: atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,GLYCK,6624.0,6713.0,5640.0,7407.0,5454.0,6701.0,3501.0,4166.0,3734.0
DPR: 2dhp_c + h_c + nadph_c <=> nadp_c + pant__R_c,DPR,14799.0,17435.0,13874.0,15112.0,15033.0,13241.0,8390.0,13597.0,11512.0
EX_ptrc_e: ptrc_e --> ,EX_ptrc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAR120y: h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,EAR120y,3429.0,3898.0,2942.0,2835.0,3064.0,2580.0,2068.0,2088.0,1642.0
MAN1PT: gtp_c + h_c + man1p_c --> gdpmann_c + ppi_c,MAN1PT,10648.0,12047.0,8901.0,10141.0,9560.0,8768.0,5698.0,7264.0,6061.0
NMNAT: atp_c + h_c + nmn_c <=> nad_c + ppi_c,NMNAT,4584.0,4802.0,4690.0,6503.0,5102.0,6934.0,2570.0,4932.0,5128.0
TKT2: e4p_c + xu5p__D_c <=> f6p_c + g3p_c,TKT2,110488.0,111285.0,98616.0,100590.0,87361.0,90947.0,55718.0,66727.0,62434.0
PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c,PSP_L,3781.0,4245.0,3257.0,2876.0,3202.0,2887.0,1680.0,2210.0,1662.0
HEX7: atp_c + fru_c --> adp_c + f6p_c + h_c,HEX7,2938.0,3301.0,2595.0,3418.0,2890.0,2970.0,1926.0,2880.0,3038.0
PPNCL2: 4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,PPNCL2,4776.0,4913.0,4707.0,5289.0,3941.0,4461.0,2560.0,3076.0,3173.0
CHORS: 3psme_c --> chor_c + pi_c,CHORS,6634.0,7350.0,6256.0,7230.0,6345.0,6713.0,3491.0,4912.0,5518.0
CYTBD4cm: 4.0 h_c + o2_c + 2.0 pqh2_cm --> 2.0 h2o_c + 4.0 h_p + 2.0 pq_cm,CYTBD4cm,3109.0,2895.0,2436.0,3481.0,2702.0,2335.0,1446.0,1881.0,2698.0
